Foods,Price/ Serving,Serving Size,Calories,Cholesterol mg,Total_Fat g,Sodium mg,Carbohydrates g,Dietary_Fiber g,Protein g,Vit_A IU,Vit_C IU,Calcium mg,Iron mg
Frozen Broccoli,$0.16 ,10 Oz Pkg,73.8,0,0.8,68.2,13.6,8.5,8,5867.4,160.2,159,2.3
"Carrots,Raw",$0.07 ,1/2 Cup Shredded,23.7,0,0.1,19.2,5.6,1.6,0.6,15471,5.1,14.9,0.3
"Celery, Raw",$0.04 ,1 Stalk,6.4,0,0.1,34.8,1.5,0.7,0.3,53.6,2.8,16,0.2
Frozen Corn,$0.18 ,1/2 Cup,72.2,0,0.6,2.5,17.1,2,2.5,106.6,5.2,3.3,0.3
"Lettuce,Iceberg,Raw",$0.02 ,1 Leaf,2.6,0,0,1.8,0.4,0.3,0.2,66,0.8,3.8,0.1
"Peppers, Sweet, Raw",$0.53 ,1 Pepper,20,0,0.1,1.5,4.8,1.3,0.7,467.7,66.1,6.7,0.3
"Potatoes, Baked",$0.06 ,1/2 Cup,171.5,0,0.2,15.2,39.9,3.2,3.7,0,15.6,22.7,4.3
Tofu,$0.31 ,1/4 block,88.2,0,5.5,8.1,2.2,1.4,9.4,98.6,0.1,121.8,6.2
Roasted Chicken,$0.84 ,1 lb chicken,277.4,129.9,10.8,125.6,0,0,42.2,77.4,0,21.9,1.8
Spaghetti W/ Sauce,$0.78 ,1 1/2 Cup,358.2,0,12.3,1237.1,58.3,11.6,8.2,3055.2,27.9,80.2,2.3
"Tomato,Red,Ripe,Raw",$0.27 ,"1 Tomato, 2-3/5 In",25.8,0,0.4,11.1,5.7,1.4,1,766.3,23.5,6.2,0.6
"Apple,Raw,W/Skin",$0.24 ,"1 Fruit,3/Lb,Wo/Rf",81.4,0,0.5,0,21,3.7,0.3,73.1,7.9,9.7,0.2
Banana,$0.15 ,"1 Fruit,Wo/Skn&Seeds",104.9,0,0.5,1.1,26.7,2.7,1.2,92.3,10.4,6.8,0.4
Grapes,$0.32 ,"10 Fruits,Wo/Rf",15.1,0,0.1,0.5,4.1,0.2,0.2,24,1,3.4,0.1
"Kiwifruit,Raw,Fresh",$0.49 ,"1 Med Frt,Wo/Skin",46.4,0,0.3,3.8,11.3,2.6,0.8,133,74.5,19.8,0.3
Oranges,$0.15 ,"1 Frt,2-5/8 Diam",61.6,0,0.2,0,15.4,3.1,1.2,268.6,69.7,52.4,0.1
Bagels,$0.16 ,1 Oz,78,0,0.5,151.4,15.1,0.6,3,0,0,21,1
Wheat Bread,$0.05 ,1 Sl,65,0,1,134.5,12.4,1.3,2.2,0,0,10.8,0.7
White Bread,$0.06 ,1 Sl,65,0,1,132.5,11.8,1.1,2.3,0,0,26.2,0.8
Oatmeal Cookies,$0.09 ,1 Cookie,81,0,3.3,68.9,12.4,0.6,1.1,2.9,0.1,6.7,0.5
Apple Pie,$0.16 ,1 Oz,67.2,0,3.1,75.4,9.6,0.5,0.5,35.2,0.9,3.1,0.1
Chocolate Chip Cookies,$0.03 ,1 Cookie,78.1,5.1,4.5,57.8,9.3,0,0.9,101.8,0,6.2,0.4
"Butter,Regular",$0.05 ,1 Pat,35.8,10.9,4.1,41.3,0,0,0,152.9,0,1.2,0
