,DIFF,Seeded,Season
0,0.45,1,3
1,-0.397,2,3
2,-0.768,1,4
3,-1.035,2,4
4,-0.562,1,4
5,-0.985,2,4
6,-0.9229999999999999,2,4
7,0.062,1,4
8,-0.6,2,1
9,0.83,1,1
10,-0.145,1,1
11,0.865,2,1
12,0.205,1,1
13,0.23,2,1
14,0.092,1,2
15,0.013000000000000001,2,2
16,0.11,1,2
17,0.263,2,2
18,0.5720000000000001,2,2
19,-0.07,1,2
20,0.182,1,3
21,-0.517,2,3
22,0.335,2,3
23,0.66,1,3
24,0.07,2,3
25,0.053,1,3
26,0.282,1,4
27,-0.428,2,4
28,-0.5479999999999999,2,4
29,-0.7070000000000001,1,4
30,-0.7879999999999999,2,4
31,-0.532,1,4
32,-0.325,2,4
33,-0.158,1,4
34,-0.693,1,1
35,-0.282,2,1
36,-0.102,1,1
37,-0.32799999999999996,2,1
38,-0.46299999999999997,2,1
39,0.272,1,1
40,0.42700000000000005,1,2
41,0.595,2,2
42,0.233,2,1
43,-0.253,1,1
44,0.032,1,1
45,0.18,2,1
46,0.32299999999999995,2,1
47,0.772,1,1
48,0.35,2,2
49,0.207,1,2
50,0.27,2,2
51,0.048,1,2
52,0.027999999999999997,1,2
53,0.36,2,2
54,-0.74,1,2
55,-0.16699999999999998,2,2
56,-0.057999999999999996,1,3
57,-0.313,2,3
58,0.233,1,3
59,-0.8220000000000001,2,3
60,-0.008,1,3
61,-1.058,2,3
62,-0.22699999999999998,1,3
63,-0.38,2,3
64,-0.787,2,4
65,0.855,1,4
66,-0.773,1,4
67,0.708,2,4
68,-0.607,2,4
69,-0.195,1,4
70,0.575,1,1
71,0.6,2,1
72,0.085,2,1
73,0.083,1,1
74,0.998,2,1
75,0.55,1,1
76,0.588,2,2
77,0.633,1,2
78,-0.033,2,2
79,0.39,1,2
80,0.187,1,2
81,0.262,2,2
82,-0.048,1,2
83,0.08800000000000001,2,2
84,-0.03,2,3
85,0.053,1,3
86,2.187,1,3
87,0.25,2,3
88,0.057999999999999996,1,3
89,-0.035,2,3
90,0.318,2,3
91,-0.523,1,3
92,-0.018000000000000002,1,4
93,-0.212,2,4
94,-0.47700000000000004,1,4
95,0.745,2,4
96,-0.547,2,4
97,-0.13699999999999998,1,4
98,0.17800000000000002,1,4
99,-0.878,2,4
100,0.747,1,1
101,0.172,2,1
102,0.048,1,1
103,0.345,2,1
104,-0.28300000000000003,1,1
105,-0.285,2,1
106,-0.003,1,1
107,0.562,2,1
