mean,sd,MC_error,val2.5pc,median,val97.5pc,start,sample,
Y.star[1],0.837,0.3694,0.01789,0,1,1,1001,1000
Y.star[2],0.941,0.2356,0.008054,0,1,1,1001,1000
Y.star[3],0.782,0.4129,0.02569,0,1,1,1001,1000
Y.star[4],0.048,0.2138,0.006805,0,0,1,1001,1000
Y.star[5],0.718,0.45,0.02672,0,1,1,1001,1000
Y.star[6],0.987,0.1133,0.00401,1,1,1,1001,1000
Y.star[7],0.007,0.08337,0.002375,0,0,0,1001,1000
Y.star[8],0.986,0.1175,0.004712,1,1,1,1001,1000
Y.star[9],0.016,0.1255,0.004049,0,0,0,1001,1000
Y.star[10],0.994,0.07723,0.002645,1,1,1,1001,1000
Y.star[11],0.074,0.2618,0.01058,0,0,1,1001,1000
Y.star[12],0.012,0.1089,0.003144,0,0,0,1001,1000
Y.star[13],0.797,0.4022,0.0162,0,1,1,1001,1000
Y.star[14],0.561,0.4963,0.01662,0,1,1,1001,1000
Y.star[15],0.549,0.4976,0.02703,0,1,1,1001,1000
Y.star[16],0.089,0.2847,0.01212,0,0,1,1001,1000
Y.star[17],0.004,0.06312,0.001894,0,0,0,1001,1000
Y.star[18],0.317,0.4653,0.01901,0,0,1,1001,1000
Y.star[19],0.609,0.488,0.02213,0,1,1,1001,1000
Y.star[20],0.008,0.08908,0.002877,0,0,0,1001,1000
Y.star[21],0.068,0.2517,0.009162,0,0,1,1001,1000
Y.star[22],0.019,0.1365,0.004732,0,0,0,1001,1000
Y.star[23],0.659,0.474,0.01876,0,1,1,1001,1000
Y.star[24],0.043,0.2029,0.007139,0,0,1,1001,1000
Y.star[25],0.952,0.2138,0.007207,0,1,1,1001,1000
Y.star[26],0.757,0.4289,0.02072,0,1,1,1001,1000
Y.star[27],0.81,0.3923,0.01537,0,1,1,1001,1000
Y.star[28],0.742,0.4375,0.01772,0,1,1,1001,1000
Y.star[29],0.427,0.4946,0.02342,0,0,1,1001,1000
Y.star[30],0.015,0.1216,0.004044,0,0,0,1001,1000
Y.star[31],0.885,0.319,0.01042,0,1,1,1001,1000
Y.star[32],0.878,0.3273,0.01206,0,1,1,1001,1000
Y.star[33],0.769,0.4215,0.01756,0,1,1,1001,1000
Y.star[34],0.6,0.4899,0.02147,0,1,1,1001,1000
Y.star[35],0.101,0.3013,0.01284,0,0,1,1001,1000
Y.star[36],0.007,0.08337,0.003102,0,0,0,1001,1000
Y.star[37],0.044,0.2051,0.009084,0,0,1,1001,1000
Y.star[38],0.803,0.3977,0.01525,0,1,1,1001,1000
Y.star[39],0.012,0.1089,0.003448,0,0,0,1001,1000
Y.star[40],0.933,0.25,0.00802,0,1,1,1001,1000
Y.star[41],0.153,0.36,0.01922,0,0,1,1001,1000
Y.star[42],0.757,0.4289,0.01209,0,1,1,1001,1000
Y.star[43],0.017,0.1293,0.004296,0,0,0,1001,1000
Y.star[44],0.759,0.4277,0.01714,0,1,1,1001,1000
Y.star[45],0.204,0.403,0.01771,0,0,1,1001,1000
Y.star[46],0.873,0.333,0.01773,0,1,1,1001,1000
Y.star[47],0.964,0.1863,0.00511,0,1,1,1001,1000
Y.star[48],0.916,0.2774,0.007664,0,1,1,1001,1000
Y.star[49],0.004,0.06312,0.001908,0,0,0,1001,1000
Y.star[50],0.529,0.4992,0.02274,0,1,1,1001,1000
Y.star[51],0.923,0.2666,0.009664,0,1,1,1001,1000
Y.star[52],0.073,0.2601,0.008666,0,0,1,1001,1000
Y.star[53],0.738,0.4397,0.01742,0,1,1,1001,1000
Y.star[54],0.137,0.3438,0.01251,0,0,1,1001,1000
Y.star[55],0.018,0.133,0.004539,0,0,0,1001,1000
Y.star[56],0.857,0.3501,0.0132,0,1,1,1001,1000
Y.star[57],0.668,0.4709,0.01607,0,1,1,1001,1000
Y.star[58],0.957,0.2029,0.006161,0,1,1,1001,1000
Y.star[59],0.975,0.1561,0.005654,1,1,1,1001,1000
Y.star[60],0.051,0.22,0.008186,0,0,1,1001,1000
Y.star[61],0.526,0.4993,0.02158,0,1,1,1001,1000
beta[1],2.839,2.447,0.4231,-2.21,2.498,7.345,1001,1000
beta[2],0.02056,0.01911,0.002758,-0.01416,0.01861,0.06148,1001,1000
beta[3],-1.909,0.6301,0.08028,-3.188,-1.872,-0.767,1001,1000
beta[4],0.7901,0.2207,0.01368,0.3846,0.7911,1.236,1001,1000
beta[5],-0.02936,0.01202,0.001961,-0.05076,-0.02958,-0.007316,1001,1000
beta[6],-0.007548,0.004986,7.39E-04,-0.01853,-0.007073,4.85E-04,1001,1000
beta[7],0.02289,0.6099,0.03166,-1.2,0.02848,1.243,1001,1000
beta[8],0.7159,0.4173,0.03371,-0.07319,0.7049,1.539,1001,1000
beta[9],0.03609,0.01331,0.002165,0.01607,0.03326,0.08033,1001,1000
beta[10],-0.8003,0.4852,0.0248,-1.725,-0.8095,0.2269,1001,1000
beta[11],-0.6963,0.2381,0.02,-1.182,-0.6777,-0.2537,1001,1000
beta[12],0.5036,0.4032,0.04899,-0.3154,0.5078,1.226,1001,1000
beta[13],-0.8038,0.2164,0.01168,-1.233,-0.8032,-0.376,1001,1000
beta[14],-1.06,0.3567,0.05237,-1.799,-1.036,-0.4317,1001,1000
